iteration,result,duration_seconds,timestamp
# 蓝牙配对测试启动 | 目标设备MAC: 8C:4F:00:D8:54:62 | 总迭代次数: 100 | 单次超时: 25 秒,,,
# 测试启动时间: 2026-01-09 10:39:43,,,
1,failure,N/A,2026/1/9 10:39
2,success,2.346359621,2026/1/9 10:40
3,success,2.237759445,2026/1/9 10:40
4,success,2.036547815,2026/1/9 10:40
5,success,2.087683767,2026/1/9 10:40
6,success,2.285239688,2026/1/9 10:41
7,success,2.18142847,2026/1/9 10:41
8,success,1.978516071,2026/1/9 10:41
9,success,2.28180447,2026/1/9 10:41
10,success,1.986091967,2026/1/9 10:42
11,success,2.231882484,2026/1/9 10:42
12,success,2.232272614,2026/1/9 10:42
13,success,2.334544246,2026/1/9 10:42
14,failure,N/A,2026/1/9 10:43
15,success,2.162879804,2026/1/9 10:43
16,success,2.079283828,2026/1/9 10:43
17,success,2.085869933,2026/1/9 10:43
18,success,2.238544193,2026/1/9 10:44
19,success,2.084805003,2026/1/9 10:44
20,success,2.08611342,2026/1/9 10:44
21,success,2.036238262,2026/1/9 10:45
22,success,2.137270171,2026/1/9 10:45
23,success,2.082021403,2026/1/9 10:45
24,success,2.202437702,2026/1/9 10:45
25,success,2.083973255,2026/1/9 10:46
26,success,2.153899899,2026/1/9 10:46
27,success,2.137877383,2026/1/9 10:46
28,success,2.036564692,2026/1/9 10:46
29,success,2.185084357,2026/1/9 10:47
30,success,2.183844468,2026/1/9 10:47
31,success,2.02939761,2026/1/9 10:47
32,success,2.333791012,2026/1/9 10:47
33,success,2.028114593,2026/1/9 10:48
34,success,2.152290543,2026/1/9 10:48
35,success,2.085320283,2026/1/9 10:48
36,success,2.183487205,2026/1/9 10:49
37,success,2.18646913,2026/1/9 10:49
38,success,2.083283506,2026/1/9 10:49
39,success,2.386824392,2026/1/9 10:49
40,success,2.134701825,2026/1/9 10:50
41,success,2.029996424,2026/1/9 10:50
42,success,2.181328428,2026/1/9 10:50
43,success,2.087019785,2026/1/9 10:50
44,success,2.030713664,2026/1/9 10:51
45,success,2.083930384,2026/1/9 10:51
46,success,2.188333257,2026/1/9 10:51
47,success,2.037923099,2026/1/9 10:51
48,success,2.187201935,2026/1/9 10:52
49,success,2.28416244,2026/1/9 10:52
50,success,2.187494853,2026/1/9 10:52
51,success,2.031868751,2026/1/9 10:53
52,success,2.035545591,2026/1/9 10:53
53,success,1.986908092,2026/1/9 10:53
54,success,2.172196882,2026/1/9 10:53
55,success,2.083315887,2026/1/9 10:54
56,success,2.231697018,2026/1/9 10:54
57,success,2.088206917,2026/1/9 10:54
58,failure,N/A,2026/1/9 10:54
59,success,2.196377137,2026/1/9 10:55
60,success,2.136781676,2026/1/9 10:55
61,success,2.038114716,2026/1/9 10:55
62,success,2.034308895,2026/1/9 10:55
63,success,2.036525941,2026/1/9 10:56
64,success,1.98609903,2026/1/9 10:56
65,success,2.12989446,2026/1/9 10:56
66,success,2.029825491,2026/1/9 10:56
67,success,2.328598975,2026/1/9 10:57
68,success,1.877214313,2026/1/9 10:57
69,success,2.184257298,2026/1/9 10:57
70,success,1.986011959,2026/1/9 10:57
71,success,2.180716902,2026/1/9 10:58
72,failure,N/A,2026/1/9 10:58
73,success,2.138628654,2026/1/9 10:58
74,success,2.034534542,2026/1/9 10:58
75,success,2.086025365,2026/1/9 10:59
76,success,1.977014457,2026/1/9 10:59
77,success,2.036601863,2026/1/9 10:59
78,success,2.132923524,2026/1/9 11:00
79,success,2.385544383,2026/1/9 11:00
80,success,2.186588937,2026/1/9 11:00
81,success,2.52943729,2026/1/9 11:00
82,success,2.235456446,2026/1/9 11:01
83,success,2.138205984,2026/1/9 11:01
84,success,2.234941302,2026/1/9 11:01
85,success,2.333354584,2026/1/9 11:01
86,success,2.278701518,2026/1/9 11:02
87,success,2.237161068,2026/1/9 11:02
88,success,1.983561713,2026/1/9 11:02
89,success,2.181924445,2026/1/9 11:02
90,success,2.085734407,2026/1/9 11:03
91,success,2.08502679,2026/1/9 11:03
92,success,2.086550549,2026/1/9 11:03
93,failure,N/A,2026/1/9 11:04
94,success,1.981017998,2026/1/9 11:04
95,success,1.931898091,2026/1/9 11:04
96,success,1.935581664,2026/1/9 11:04
97,success,1.983290074,2026/1/9 11:04
98,success,2.032160522,2026/1/9 11:05
99,success,2.088633968,2026/1/9 11:05
100,success,2.137937248,2026/1/9 11:05
,,,
----------------------------------------,,,
# 测试结束时间: 2026-01-09 11:05:52,,,
# 总尝试次数: 100,,,
# 成功次数: 95,,,
# 失败次数: 5,,,
# 成功配对平均耗时: 2.1300 秒,,,
