iteration,result,duration_seconds,timestamp
# 蓝牙配对测试启动 | 目标设备MAC: 8C:4F:00:D8:54:62 | 总迭代次数: 100 | 单次超时: 25 秒,,,
# 测试启动时间: 2026-01-09 10:12:35,,,
1,success,2.124470437,2026/1/9 10:12
2,failure,N/A,2026/1/9 10:12
3,failure,N/A,2026/1/9 10:13
4,success,2.132767305,2026/1/9 10:13
5,success,2.186191187,2026/1/9 10:13
6,success,2.03724948,2026/1/9 10:13
7,success,1.888423973,2026/1/9 10:14
8,success,2.007856793,2026/1/9 10:14
9,success,2.098692602,2026/1/9 10:14
10,success,1.948163424,2026/1/9 10:14
11,success,2.144003169,2026/1/9 10:15
12,success,2.043637315,2026/1/9 10:15
13,success,2.440926057,2026/1/9 10:15
14,success,2.041440208,2026/1/9 10:15
15,success,2.194880864,2026/1/9 10:16
16,success,1.93906766,2026/1/9 10:16
17,success,1.938612503,2026/1/9 10:16
18,success,1.992811837,2026/1/9 10:16
19,success,2.037845726,2026/1/9 10:17
20,success,2.091119,2026/1/9 10:17
21,success,1.989632764,2026/1/9 10:17
22,success,2.290958933,2026/1/9 10:17
23,success,2.290413003,2026/1/9 10:18
24,success,1.992152733,2026/1/9 10:18
25,success,2.393236354,2026/1/9 10:18
26,success,2.140725994,2026/1/9 10:19
27,success,2.092799407,2026/1/9 10:19
28,success,2.188664321,2026/1/9 10:19
29,success,2.041742041,2026/1/9 10:19
30,success,2.242853903,2026/1/9 10:20
31,success,2.042644539,2026/1/9 10:20
32,success,2.092377328,2026/1/9 10:20
33,success,2.184254462,2026/1/9 10:20
34,success,2.039578082,2026/1/9 10:21
35,failure,N/A,2026/1/9 10:21
36,success,2.028871906,2026/1/9 10:21
37,success,1.982521212,2026/1/9 10:21
38,success,2.183213187,2026/1/9 10:22
39,success,2.234717758,2026/1/9 10:22
40,success,1.937050317,2026/1/9 10:22
41,success,2.234398144,2026/1/9 10:22
42,failure,N/A,2026/1/9 10:23
43,failure,N/A,2026/1/9 10:23
44,success,2.036639342,2026/1/9 10:23
45,success,2.136778783,2026/1/9 10:23
46,success,2.087396351,2026/1/9 10:24
47,success,2.127096458,2026/1/9 10:24
48,success,1.984818278,2026/1/9 10:24
49,success,2.034593559,2026/1/9 10:24
50,success,1.987239849,2026/1/9 10:25
51,success,2.080940138,2026/1/9 10:25
52,success,1.930291379,2026/1/9 10:25
53,success,2.135063304,2026/1/9 10:25
54,success,2.185682451,2026/1/9 10:26
55,success,2.035149578,2026/1/9 10:26
56,success,2.08818272,2026/1/9 10:26
57,success,2.08956873,2026/1/9 10:27
58,success,1.937699923,2026/1/9 10:27
59,success,1.931204492,2026/1/9 10:27
60,success,2.134243707,2026/1/9 10:27
61,success,2.134503316,2026/1/9 10:28
62,failure,N/A,2026/1/9 10:28
63,success,2.284809763,2026/1/9 10:28
64,success,1.986746152,2026/1/9 10:28
65,success,2.238497751,2026/1/9 10:29
66,success,2.085684669,2026/1/9 10:29
67,success,2.132702473,2026/1/9 10:29
68,failure,N/A,2026/1/9 10:29
69,success,2.087698318,2026/1/9 10:30
70,success,1.931871862,2026/1/9 10:30
71,success,2.137068975,2026/1/9 10:30
72,success,2.188392333,2026/1/9 10:30
73,success,2.034930627,2026/1/9 10:31
74,success,2.085491604,2026/1/9 10:31
75,success,2.18761044,2026/1/9 10:31
76,success,2.284514193,2026/1/9 10:31
77,success,2.234506791,2026/1/9 10:32
78,success,2.035345448,2026/1/9 10:32
79,success,2.085478486,2026/1/9 10:32
80,success,2.233836382,2026/1/9 10:32
81,success,2.086267212,2026/1/9 10:33
82,success,2.03854088,2026/1/9 10:33
83,success,2.138817962,2026/1/9 10:33
84,success,2.139896245,2026/1/9 10:34
85,success,2.184973811,2026/1/9 10:34
86,success,2.083947093,2026/1/9 10:34
87,success,1.985841627,2026/1/9 10:34
88,failure,N/A,2026/1/9 10:35
89,success,2.078912662,2026/1/9 10:35
90,success,2.038739757,2026/1/9 10:35
91,success,2.035183825,2026/1/9 10:35
92,success,2.237558102,2026/1/9 10:36
93,success,2.188402667,2026/1/9 10:36
94,success,2.140686234,2026/1/9 10:36
95,success,1.838056088,2026/1/9 10:36
96,success,1.88561682,2026/1/9 10:37
97,success,2.084328272,2026/1/9 10:37
98,success,2.136911119,2026/1/9 10:37
99,success,2.034701149,2026/1/9 10:37
100,success,2.188057475,2026/1/9 10:38
,,,
----------------------------------------,,,
# 测试结束时间: 2026-01-09 10:38:18,,,
# 总尝试次数: 100,,,
# 成功次数: 92,,,
# 失败次数: 8,,,
# 成功配对平均耗时: 2.0955 秒,,,
